year,individual_income_taxes_billions,payroll_tax_billions,corporate_income_tax_billions,excise_tax_billions,estate_gift_tax_billions,customs_duties_billions,miscellaneous_receipts_billions,total
1962,45.6,17.0,20.5,12.5,2.0,1.1,0.8,99.7
1963,47.6,19.8,21.6,13.2,2.2,1.2,1.0,106.6
1964,48.7,22.0,23.5,13.7,2.4,1.3,1.1,112.6
1965,48.8,22.2,25.5,14.6,2.7,1.4,1.6,116.8
1966,55.4,25.5,30.1,13.1,3.1,1.8,1.9,130.8
1967,61.5,32.6,34.0,13.7,3.0,1.9,2.1,148.8
1968,68.7,33.9,28.7,14.1,3.1,2.0,2.5,153.0
1969,87.2,39.0,36.7,15.2,3.5,2.3,2.9,186.9
1970,90.4,44.4,32.8,15.7,3.6,2.4,3.4,192.8
1971,86.2,47.3,26.8,16.6,3.7,2.6,3.9,187.1
1972,94.7,52.6,32.2,15.5,5.4,3.3,3.6,207.3
1973,103.2,63.1,36.2,16.3,4.9,3.2,3.9,230.8
1974,119.0,75.1,38.6,16.8,5.0,3.3,5.4,263.2
1975,122.4,84.5,40.6,16.6,4.6,3.7,6.7,279.1
1976,131.6,90.8,41.4,17.0,5.2,4.1,8.0,298.1
1977,157.6,106.5,54.9,17.5,7.3,5.2,6.5,355.6
1978,181.0,121.0,60.0,18.4,5.3,6.6,7.4,399.6
1979,217.8,138.9,65.7,18.7,5.4,7.4,9.3,463.3
1980,244.1,157.8,64.6,24.3,6.4,7.2,12.7,517.1
1981,285.9,182.7,61.1,40.8,6.8,8.1,13.8,599.3
1982,297.7,201.5,49.2,36.3,8.0,8.9,16.2,617.8
1983,288.9,209.0,37.0,35.3,6.1,8.7,15.6,600.6
1984,298.4,239.4,56.9,37.4,6.0,11.4,17.0,666.4
1985,334.5,265.2,61.3,36.0,6.4,12.1,18.5,734.0
1986,349.0,283.9,63.1,32.9,7.0,13.3,19.9,769.2
1987,392.6,303.3,83.9,32.5,7.5,15.1,19.5,854.3
1988,401.2,334.3,94.5,35.2,7.6,16.2,20.2,909.2
1989,445.7,359.4,103.3,34.4,8.7,16.3,23.2,991.1
1990,466.9,380.0,93.5,35.3,11.5,16.7,28.0,1032.0
1991,467.8,396.0,98.1,42.4,11.1,15.9,23.6,1055.0
1992,476.0,413.7,100.3,45.6,11.1,17.4,27.2,1091.2
1993,509.7,428.3,117.5,48.1,12.6,18.8,19.4,1154.3
1994,543.1,461.5,140.4,55.2,15.2,20.1,23.1,1258.6
1995,590.2,484.5,157.0,57.5,14.8,19.3,28.5,1351.8
1996,656.4,509.4,171.8,54.0,17.2,18.7,25.5,1453.1
1997,737.5,539.4,182.3,56.9,19.8,17.9,25.4,1579.2
1998,828.6,571.8,188.7,57.7,24.1,18.3,32.6,1721.7
1999,879.5,611.8,184.7,70.4,27.8,18.3,34.9,1827.5
2000,1004.5,652.9,207.3,68.9,29.0,19.9,42.8,2025.2
2001,994.3,694.0,151.1,66.2,28.4,19.4,37.7,1991.1
2002,858.3,700.8,148.0,67.0,26.5,18.6,33.9,1853.1
2003,793.7,713.0,131.8,67.5,22.0,19.9,34.5,1782.3
2004,809.0,733.4,189.4,69.9,24.8,21.1,32.6,1880.1
2005,927.2,794.1,278.3,73.1,24.8,23.4,32.7,2153.6
2006,1043.9,837.8,353.9,74.0,27.9,24.8,44.6,2406.9
2007,1163.5,869.6,370.2,65.1,26.0,26.0,47.5,2568.0
2008,1145.7,900.2,304.3,67.3,28.8,27.6,50.0,2524.0
2009,915.3,890.9,138.2,62.5,23.5,22.5,52.1,2105.0
2010,898.5,864.8,191.4,66.9,18.9,25.3,96.8,2162.7
2011,1091.5,818.8,181.1,72.4,7.4,29.5,102.8,2303.5
2012,1132.2,845.3,242.3,79.1,14.0,30.3,106.8,2450.0
2013,1316.4,947.8,273.5,84.0,18.9,31.8,102.6,2775.1
2014,1394.6,1023.5,320.7,93.4,19.3,33.9,136.1,3021.5
2015,1540.8,1065.3,343.8,98.3,19.2,35.0,147.5,3249.9
2016,1546.1,1115.1,299.6,95.0,21.4,34.8,156.0,3268.0
2017,1587.1,1161.9,297.0,83.8,22.8,34.6,129.0,3316.2
2018,1683.5,1170.7,204.7,95.0,23.0,41.3,111.7,3329.9
2019,1717.9,1243.1,230.2,98.9,16.7,70.8,84.6,3462.2
,,,,,,,,
,,,,,,,,
,,,,,,,,
